place,team,total_points,100,200,400,800,1500,3000SC,5000,10000,100H,400H,4x1R,4x4R,HJ,PV,LJ,TJ,SP,DT,HT,JT,Hep,year,season
57,Providence,2.0,,,,,2.0,,,,,,,,,,,,,,,,,2022,Outdoor
57,Southern Illinois,2.0,,,,,,0.0,,,,,,,,,,,2.0,,0.0,,,2022,Outdoor
62,Tennessee,1.0,0.0,1.0,,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,2022,Outdoor
62,Auburn,1.0,,,,0.0,,0.0,,,,0.0,,,,,,,,0.0,1.0,0.0,,2022,Outdoor
62,East Carolina,1.0,,,,,,,,,,,,,,1.0,,,,,,,,2022,Outdoor
62,Georgetown,1.0,,,,,,,,1.0,,,,,,,,,,,,,,2022,Outdoor
62,Abilene Christian,1.0,,,,,,,,,,,,,,,,,1.0,,,,,2022,Outdoor
62,Arizona,1.0,,,,,,,,,0.0,1.0,,,,,,,,,,,,2022,Outdoor
62,Iowa State,1.0,,,,,,,,,,,,,,,,,,1.0,,,,2022,Outdoor
62,Washington St.,1.0,,,,,,,,,0.0,,,,0.0,,,,,,,1.0,,2022,Outdoor
70,Clemson,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,2022,Outdoor
70,Liberty,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2022,Outdoor
70,Penn State,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,0.0,,2022,Outdoor
70,Purdue,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,2022,Outdoor
70,Houston,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2022,Outdoor
70,Iowa,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,2022,Outdoor
70,Kansas State,0.0,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,2022,Outdoor
70,North Dakota State,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,2022,Outdoor
70,San Diego St.,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,2022,Outdoor
70,Stephen F. Austin,0.0,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,2022,Outdoor
70,TCU,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,2022,Outdoor
70,UT-Arlington,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,2022,Outdoor
70,Army West Point,0.0,,,,,,,,,,,,,,,,,,,0.0,,,2022,Outdoor
70,Boston College,0.0,,,,0.0,,,,,,,,,,,,,,,,,,2022,Outdoor
70,Boston University,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2022,Outdoor
70,Bowling Green,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,2022,Outdoor
70,Brown,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2022,Outdoor
70,Campbell,0.0,,,,0.0,,,,,,,,,,,,,,,,,,2022,Outdoor
70,Charlotte,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2022,Outdoor
70,Cincinnati,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,2022,Outdoor
70,Eastern Kentucky,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2022,Outdoor
70,Florida A&M,0.0,,,,,,,,,,,,,,,,0.0,,,,,,2022,Outdoor
70,Furman,0.0,,,,,0.0,,,,,,,,,,,,,,,,,2022,Outdoor
70,Georgia Tech,0.0,,,,,,,0.0,,,,,,,,,,,,,,,2022,Outdoor
70,Harvard,0.0,,,,,0.0,,,,,,,,,,,,,,,,,2022,Outdoor
70,Indiana,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,,,2022,Outdoor
70,Indiana State,0.0,,,,,,,,,,,,,,,,0.0,,,,,,2022,Outdoor
70,Kent State,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2022,Outdoor
70,La Salle,0.0,,,,,,,0.0,,,,,,,,,,,,,,,2022,Outdoor
70,McNeese State,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2022,Outdoor
70,Memphis,0.0,,,,,,,,,,,,,,,,,,,0.0,,,2022,Outdoor
70,Miami (Ohio),0.0,,,,,,0.0,,,,,,,,,,,,,,,,2022,Outdoor
70,Michigan,0.0,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,0.0,,,,2022,Outdoor
70,Miss State,0.0,,,,0.0,,,,,,,,,,,,,,,,,,2022,Outdoor
70,Murray State,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2022,Outdoor
70,Notre Dame,0.0,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,2022,Outdoor
70,Penn,0.0,,,,,,,,,,,,,,,,,,,0.0,,,2022,Outdoor
70,Rutgers,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2022,Outdoor
70,Samford,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2022,Outdoor
70,SE Louisiana,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2022,Outdoor
70,South Florida,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,2022,Outdoor
70,Southern Miss.,0.0,,,,,,,,,,,,,,,,0.0,,,,,,2022,Outdoor
70,Syracuse,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2022,Outdoor
70,Toledo,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2022,Outdoor
70,UMBC,0.0,,,0.0,,,,,,,,,,,,,,,,,,,2022,Outdoor
70,Wake Forest,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,2022,Outdoor
70,Arkansas-Pine Bluff,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2022,Outdoor
70,Fresno State,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2022,Outdoor
70,Grand Canyon,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2022,Outdoor
70,Houston Baptist,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2022,Outdoor
70,Illinois,0.0,,,,,0.0,,,,,,,,,,,,,,,,,2022,Outdoor
70,Missouri,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,2022,Outdoor
70,Montana State,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2022,Outdoor
70,Nevada,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2022,Outdoor
70,North Dakota,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2022,Outdoor
70,Northern Arizona,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2022,Outdoor
70,Portland,0.0,,,,0.0,,,,,,,,,,,,,,,,,,2022,Outdoor
70,South Dakota,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,2022,Outdoor
70,Southern Utah,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2022,Outdoor
70,Utah,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,2022,Outdoor
70,Utah Valley,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2022,Outdoor
70,UTEP,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2022,Outdoor
70,UTSA,0.0,,,,,,,,,,,,,,,,0.0,,,,,,2022,Outdoor
1,Texas,83.0,16.0,20.0,10.0,3.0,,,,0.0,,,10.0,0.0,,,10.0,8.0,0.0,0.0,,,6.0,2023,Outdoor
2,Florida,51.0,0.0,2.0,4.0,0.0,0.0,,10.0,,4.0,0.0,0.0,0.0,0.0,,10.0,10.0,5.0,6.0,,,,2023,Outdoor
3,Arkansas,46.0,,,19.0,,,,0.0,,10.0,2.0,5.0,10.0,,0.0,,,,,,,,2023,Outdoor
4,Oregon,44.0,,0.0,,0.0,13.0,,,,,0.0,2.0,2.0,,,5.0,,12.0,10.0,0.0,,0.0,2023,Outdoor
5,Texas A&M,36.0,0.0,0.0,3.0,,,,,,0.0,,0.0,8.0,8.0,,0.0,,,,,14.0,3.0,2023,Outdoor
6,Kentucky,28.0,0.0,1.0,,,,,,,8.0,8.0,8.0,3.0,,,,,,,,,,2023,Outdoor
7,LSU,26.0,,0.0,,10.0,,,,,6.0,4.0,6.0,0.0,0.0,,0.0,,,,,,,2023,Outdoor
8,Nebraska,25.0,,,,,,,,,,,,,0.0,,0.0,0.0,10.0,,,15.0,,2023,Outdoor
9,Harvard,23.0,,,,,10.0,,0.0,,,,,,,,,,0.0,3.0,10.0,,0.0,2023,Outdoor
10,Georgia,19.0,5.0,0.0,0.0,,,,,,,0.0,3.0,0.0,6.0,,0.0,5.0,0.0,,0.0,0.0,,2023,Outdoor
10,Tennessee,19.0,6.0,5.0,0.0,,,,,,0.0,,0.0,0.0,,,3.0,5.0,,,0.0,,,2023,Outdoor
12,Oklahoma,18.0,8.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,10.0,2023,Outdoor
12,Utah Valley,18.0,,,,,,,8.0,10.0,,,,,,,,,,,,,,2023,Outdoor
14,Michigan,17.0,,,3.0,2.0,,,,,2.0,10.0,,0.0,,,,,,,,,,2023,Outdoor
15,USC,16.0,0.0,3.0,0.0,,,,,,,,0.0,5.0,,,,3.0,,,,,5.0,2023,Outdoor
15,Utah,16.0,,,,,0.0,,8.0,8.0,,0.0,,,,,,,,,,,,2023,Outdoor
17,BYU,14.0,,,,7.0,,5.0,,0.0,,,0.0,0.0,2.0,,,,,,,0.0,,2023,Outdoor
17,Ball State,14.0,,,,,,,,,,,,,10.0,,,,,,,,4.0,2023,Outdoor
17,Virginia,14.0,,,,,6.0,,,0.0,,,,,,,,,,8.0,,,0.0,2023,Outdoor
20,Stanford,13.0,,,,5.0,,,0.0,,,,0.0,0.0,,,8.0,,,,,,,2023,Outdoor
20,Vanderbilt,13.0,,,0.0,,,,,,,5.0,,,,,,,0.0,0.0,,,8.0,2023,Outdoor
22,Notre Dame,12.0,,,,,,10.0,0.0,0.0,,,,,0.0,,,,,,,,2.0,2023,Outdoor
22,Oklahoma State,12.0,,,,8.0,4.0,,,0.0,,,,,,,,,,,,,0.0,2023,Outdoor
24,Auburn,11.5,,,,,,,,,,,,,3.5,,,,,,8.0,0.0,,2023,Outdoor
25,Alabama,11.0,,,,,0.0,,,10.0,,,0.0,,,,0.0,,0.0,,1.0,,,2023,Outdoor
25,Ole Miss,11.0,0.0,8.0,,,,0.0,,,,,0.0,,,,,,0.0,,3.0,,,2023,Outdoor
25,Texas Tech,11.0,3.0,,,,,,,,0.0,,0.0,,,,,8.0,,,,,,2023,Outdoor
25,Virginia Tech,11.0,,,,0.0,,,,,,,,,,11.0,,0.0,0.0,0.0,0.0,,,2023,Outdoor
29,Missouri,10.5,,,,,,,,,,,,,3.5,,,0.0,,0.0,,7.0,,2023,Outdoor
29,Washington,10.5,,,,0.0,0.0,0.0,,,,,,,,10.5,,,,,,,,2023,Outdoor
31,Campbell,10.0,,,,4.0,,,,,,6.0,,,,,,,,,,,,2023,Outdoor
31,Ohio State,10.0,0.0,0.0,0.0,,,,,,,,4.0,6.0,,,,0.0,,0.0,,,,2023,Outdoor
33,New Mexico,9.0,,,,,0.0,4.0,0.0,5.0,,,,,,,,,,,,,,2023,Outdoor
34,South Dakota,8.5,,,,,,,,,,0.0,,,0.0,8.5,,,,,0.0,,,2023,Outdoor
35,NC State,8.0,,,,,2.0,,5.0,1.0,,,,,,,0.0,,,,,,0.0,2023,Outdoor
35,CBU,8.0,,,,,,8.0,0.0,,,,,,,,,,,,,,,2023,Outdoor
37,Florida State,6.0,1.0,,,,,,0.0,,0.0,,0.0,,,,,,,5.0,,0.0,,2023,Outdoor
37,California,6.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,,6.0,0.0,,2023,Outdoor
37,West Virginia,6.0,,,,,,6.0,,,,,,,,,,,,,,,,2023,Outdoor
37,Iowa State,6.0,,,,,,0.0,3.0,3.0,,,,,,,0.0,,,0.0,,,,2023,Outdoor
37,Oregon State,6.0,,,,,,5.0,,,,,,,,,,,,1.0,,,,2023,Outdoor
37,UNLV,6.0,,,,,,,,,,,,,,,,,6.0,,,,,2023,Outdoor
43,Duke,5.0,,,0.0,0.0,0.0,0.0,4.0,,,,0.0,1.0,0.0,,0.0,,,,,0.0,,2023,Outdoor
43,Arizona,5.0,,,,,,,,,5.0,,,,0.0,,,,,0.0,,,,2023,Outdoor
43,Arizona State,5.0,,,,,,,,,,,,,0.0,5.0,,0.0,,,,,,2023,Outdoor
43,Baylor,5.0,,0.0,,,,,,0.0,,0.0,1.0,4.0,,,,0.0,,,,,,2023,Outdoor
43,Hawaii,5.0,,,,,,,,,,,,,5.0,,,,,,,,,2023,Outdoor
43,Kansas State,5.0,,,,,,,,,,,,,,,,,,,5.0,,0.0,2023,Outdoor
49,High Point,4.0,,,,,,,,,,,,,,4.0,,,,,,,,2023,Outdoor
49,Memphis,4.0,,,,,,,,,,,,,,,,,,4.0,0.0,,,2023,Outdoor
49,Rice,4.0,,,,,,,,,,,,,,,,,0.0,,4.0,0.0,,2023,Outdoor
52,Clemson,3.0,,,,,,,,,,3.0,,,,,,,,,0.0,,,2023,Outdoor
52,Penn State,3.0,,,,0.0,,,0.0,,,,,,,,,,3.0,,,,,2023,Outdoor
52,Coastal Carolina,3.0,,,,,,,,,3.0,,,,,,,,,,,,,2023,Outdoor
52,Providence,3.0,,,,,3.0,,0.0,,,,,,,,,,,,,,,2023,Outdoor
56,UCLA,2.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,2023,Outdoor
56,Syracuse,2.0,,,,,,,,2.0,,,,,,,,,,,,,,2023,Outdoor
56,Arkansas State,2.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,2023,Outdoor
56,Colorado St.,2.0,,,,,,,0.0,0.0,,,,,,,,,0.0,2.0,,,,2023,Outdoor
56,San Jose St.,2.0,,,,,,,,,,,,,,,2.0,0.0,,,,,,2023,Outdoor
56,Texas State,2.0,,,,,,,,,0.0,,,,,,,,,,2.0,,,2023,Outdoor
56,Wisconsin,2.0,,,,,,,,,0.0,,,,,,,,2.0,0.0,,,,2023,Outdoor
63,Louisville,1.0,,,,,,,,,,,0.0,,,0.0,1.0,,,,,,,2023,Outdoor
63,Miami (Fla.),1.0,,,,,,,,,,0.0,,0.0,,,,0.0,1.0,0.0,,,,2023,Outdoor
63,N. Carolina A&T,1.0,,,0.0,,,,,,1.0,,,,,,,,,,,,,2023,Outdoor
63,Colorado,1.0,,,,,,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,2023,Outdoor
63,Cincinnati,1.0,,,,,0.0,,,,,,,,1.0,0.0,,,,,,0.0,,2023,Outdoor
63,Georgetown,1.0,,,,,0.0,,1.0,,,,,,,,,,,,,,,2023,Outdoor
63,North Carolina,1.0,,,,,,,,,,,,,,,,,,,,1.0,,2023,Outdoor
63,Illinois,1.0,,,,,1.0,,,,,,,,,0.0,,,,,,,,2023,Outdoor
71,Howard,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,2023,Outdoor
71,Louisiana,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2023,Outdoor
71,Miss State,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,2023,Outdoor
71,Penn,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,2023,Outdoor
71,Purdue,0.0,,,,,,,,,,,,0.0,,,,,,,,,,2023,Outdoor
71,UCF,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,2023,Outdoor
71,Iowa,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,0.0,,0.0,2023,Outdoor
71,Minnesota,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,2023,Outdoor
71,Nevada,0.0,,,,,,,,,,,,0.0,,,,,,,,,,2023,Outdoor
71,Appalachian State,0.0,,,,,,,,,,,,,,,,0.0,,,,,,2023,Outdoor
71,Binghamton,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2023,Outdoor
71,Boston College,0.0,,,,0.0,,,,,,,,,,,,,,,,,,2023,Outdoor
71,Boston University,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2023,Outdoor
71,Bowling Green,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2023,Outdoor
71,Butler,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2023,Outdoor
71,Charlotte,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2023,Outdoor
71,Columbia,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2023,Outdoor
71,Delaware,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2023,Outdoor
71,FIU,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,2023,Outdoor
71,Indiana,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,2023,Outdoor
71,Indiana State,0.0,,,,,,,,,,,,,,,,0.0,,,,,,2023,Outdoor
71,Jacksonville,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2023,Outdoor
71,Kennesaw State,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,2023,Outdoor
71,La Salle,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2023,Outdoor
71,Liberty,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2023,Outdoor
71,Lipscomb,0.0,,,,,,,0.0,,,,,,,,,,,,,,,2023,Outdoor
71,Miami (Ohio),0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,2023,Outdoor
71,Michigan State,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,2023,Outdoor
71,Murray State,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,2023,Outdoor
71,Northwestern St.,0.0,,,0.0,,,,,,,,,,,,,,,,,,,2023,Outdoor
71,Princeton,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2023,Outdoor
71,Rutgers,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2023,Outdoor
71,Samford,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2023,Outdoor
71,South Carolina,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,2023,Outdoor
71,St. John's,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2023,Outdoor
71,Tulane,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2023,Outdoor
71,ULM,0.0,,,,,,,,,,,,,,,,0.0,,,,,,2023,Outdoor
71,UMass Lowell,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2023,Outdoor
71,VCU,0.0,,,,,,,,,,,,,,,,,,,0.0,,,2023,Outdoor
71,Villanova,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,2023,Outdoor
71,Youngstown St.,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2023,Outdoor
71,Boise State,0.0,,,,0.0,,,,,,,,,,,,,,,,,,2023,Outdoor
71,Bradley,0.0,,,,,0.0,,,,,,,,,,,,,,,,,2023,Outdoor
71,Fresno State,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2023,Outdoor
71,Grand Canyon,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2023,Outdoor
71,Houston,0.0,,,,,,,,,,0.0,,,,,,,,,,,,2023,Outdoor
71,Houston Christian,0.0,,,,0.0,,,,,,,,,,,,,,,,,,2023,Outdoor
71,Illinois State,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,2023,Outdoor
71,Kansas,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,2023,Outdoor
71,Montana State,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2023,Outdoor
71,North Dakota,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2023,Outdoor
71,North Texas,0.0,,,,,,,,,,,,,,,,,0.0,,,,,2023,Outdoor
71,Northern Arizona,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2023,Outdoor
71,Northern Iowa,0.0,,,,,,,,,,,,,,,,,,,0.0,,,2023,Outdoor
71,Portland,0.0,,,,,0.0,,,,,,,,,,,,,,,,,2023,Outdoor
71,San Diego State,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,2023,Outdoor
71,SMU,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2023,Outdoor
71,Stephen F. Austin,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,2023,Outdoor
71,UC Davis,0.0,,,,,,,0.0,,,,,,,,,,,,,,,2023,Outdoor
71,UTEP,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,2023,Outdoor
71,UTSA,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2023,Outdoor
71,Wichita State,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2023,Outdoor
71,Wyoming,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2023,Outdoor
